what i really like about its quite , it can handle my workload and it was so cheap that i can throw it away and buy another one without blinking	1
this new click wheel ipod allows you to navigate through the menus and song via a touch wheel for scrolling and click able buttons for selection	1
a decent piece of hardware with great speed \( i get the same speeds as with my comp connected directly to the modem \) and good signal quality	1
the best part about this router is now i have a dhaka server	1
the voice recorders good , but you can 't record songs off the radio for ring tones	1
they have a good concept here , and i normally expect a lot better quality from creative , so maybe they will do better with the next gen version , but for now i say buyer beware	2
i sent it back , as i think that the speed control is either poorly designed or defective	2
one primary reason for getting a cell phone was so that i could use it as an internet connection for my laptop running linux , where soft modem drivers are hard to find , and don 't work very well	1
broadband hooked up to this wireless setup flies	1
the games are decent , but u only get 2 to start off with	1
only if we could get one camera in it	2
this fixes some glitches such as the player freezing	2
the screen 's large and easily read	1
it has enough power to hog out all the material in one pass , but i usually take multiple to prevent blowout and a smoother finish	1
very long lasting battery life	1
1 \) great audio quality overall	1
you can take pic of your friends and the picture will pop up when they call	1
you just can 't go wrong with this one !	1
this is not a router i would suggest for a novice user , my old dlink di52 !	2
2 \) no games it has a cool screen why not use it	2
i no longer use it as a plunge router , only as a stationary or table mounted router	2
just don 't get drawn into t mobile 's catchy rebate	2
silver metal case not plastic	1
well the champ has survived it 's first year with our son and it is great ! !	1
1 \) great sound \( 98db signal to noise ratio beats ipod 's `` unspecified `` ratio \) and good power output allow the zen xtra to drive large head phones as well as external speakers	1
what a disappointment !	2
this player has worked flawlessly for me and at this price , you can 't go wrong	1
the resolution is very good and the colors are bright and even changeable !	1
audio on video also lacking	2
sound excellent polyphonic ringing tones are very nice \( check cons \) it also doubles as a radio , which is a nice feature when you are bored	1
no other color phone has the combination of features that the 6610 offers	1
if you hold down the scroll wheel too long \( which is common if you have a lot of songs to sort through \) , it will get `` stuck `` rapidly going through the songs and wo n 't stop until several seconds after you let your finger off of it	2
price , along with the replaceable battery \( which i understand apple charges a small fortune to replace as well as the hassle of returning it \) were the two main factors on why i picked the nomad	1
	1
i loved it until it broke , but less than a month is not an acceptable period of time for something to work	2
it 's really a shame , because otherwise , creative mp3 players are very good , and have the best sound quality of any players on the market	1
the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone , saved me hours of re entering my numbers	1
one bad thing though , i find the remote control a bit flimsy and i predict it will most probably ' die ' before the player does	2
unfortunately , the player would not read any of my region one dvds even though they were not damaged in any way	2
the size of the camera is perfect	1
i have had mine for about a year and use a third party firmware on mine and love it	1
since i received the phone , i spent countless hours on the phone with customer service reps who promised t zones would work `` in 24 hours ``	2
a great camera , but here are some points which i don 't notice in most of the reviews here , which may be of concern especially to the more advanced amatuer	1
the battery does not last 12 hours	2
so now it still plays everything , you just can 't see it !	2
it is a fantastic camera and well worth the price	1
i would have rated it five stars but for the poor manual	2
one neat thing i have taken some pictures in what i thought would be impossible lighting conditions pitch black rooms no problem for the camera rooms looked like they had ample lighting	1
but like i stated , its better then a trash can , but i 'm not sure if its better then the diaper genie	1
the photos in the address book are terribly scaled too they look as though they were built out of lego 's	2
i 'm sure i don 't use it to the degree of some of the other purchasers , but i really like it !	1
though nearly a dozen different people at both t mobile and nokia have told me otherwise , it is simply not possible to use this phone as a bluetooth modem for the vast majority of pdas and many other devices	2
i especially like the more commonly used buttons , such as play , pause , and stop , to be larger and conveniently placed	2
i 've tried the belkin fm transmitter unit with it it worked well when i set it on top of a portable radio , but was awful trying to use in the car which is somewhat of a disappointment	2
apex ad 2600 runs all the dvd media including dvd r rw and dvd r rw \( unlike sony or panasonic one supports only r rw and another supports r rw \)	1
2 \) having unfilled id3 tags will cause music to be potentially placed in a folder called `` unknown ``	2
i have had no problem either with backward compatibility , in that the `` mixed mode `` feature lets you both 54 and 11 mb cards off the router	1
my friend has an ipod , and although the sound quality probably won 't meet most audiophile standards , the product itself is better than anything creative has made	2
small size	1
